id,E,N,H,lon,lat,h
NCM01,18355.000,109251.000,3052.000,-69.0510396954,-24.2572084881,3087.8868
NCM02,18933.000,110751.000,3043.100,-69.0453448895,-24.2436748239,3079.0313
NCM04,19926.000,113449.000,3141.100,-69.0355636760,-24.2193315461,3177.1117
NE018,16750.000,108419.000,2770.200,-69.0668415349,-24.2647092583,2806.0701
NE022,15816.000,106952.000,2845.900,-69.0760438954,-24.2779423712,2881.7288
NE024,16277.000,106643.000,2764.100,-69.0715074831,-24.2807332158,2799.9160
NE025,17168.000,105765.000,3037.500,-69.0627405754,-24.2886605478,3073.2822
NE027,17780.000,107515.000,3064.800,-69.0567072733,-24.2728715582,3100.6346
NE029,25601.000,110158.000,3139.000,-68.9797209645,-24.2490354093,3174.8706
NE030,16060.000,106512.000,2980.600,-69.0736444869,-24.2819141897,3016.4132
NE032,17081.000,106018.000,2900.300,-69.0635957911,-24.2863771104,2936.0909
NE036,15971.000,106421.000,2959.000,-69.0745211858,-24.2827348791,2994.8108
NE042,18368.000,107184.000,3077.100,-69.0509205224,-24.2758608517,3112.9203
NE043,18212.000,107275.000,3075.000,-69.0524557953,-24.2750390665,3110.8242
NE060,16341.000,109584.000,3077.800,-69.0708608040,-24.2541943864,3113.7100
NE061,17120.000,108481.000,2951.300,-69.0631992427,-24.2641515577,2987.1698
NE065,20788.000,107917.000,3042.100,-69.0270960806,-24.2692539277,3077.9287
NE066,16123.000,109009.000,2822.600,-69.0730097794,-24.2593819656,2858.4929
NE069,16302.000,110717.000,3265.000,-69.0712382173,-24.2439701292,3300.9467
NE071,16501.000,110253.000,3237.000,-69.0692823157,-24.2481582349,3272.9305
NE073,17141.000,107878.000,2834.700,-69.0629956127,-24.2695930420,2870.5503
NE080,14762.000,110696.000,3248.400,-69.0863943912,-24.2441508515,3284.3556
NE082,21132.000,108168.000,3039.800,-69.0237093247,-24.2669897121,3075.6346
NE107,16314.000,106186.000,2921.100,-69.0711458340,-24.2848573030,2956.9011
NE131,17449.000,107775.000,2910.500,-69.0599643020,-24.2705239089,2946.3450
NE138,15390.000,106979.000,3030.000,-69.0802373519,-24.2776963179,3065.8323
NE144,15866.000,106143.000,3070.000,-69.0755565297,-24.2852429330,3105.8025
NE184,18173.000,107316.000,3076.800,-69.0528395305,-24.2746689325,3112.6258
NE187,18827.000,107471.000,3086.100,-69.0464009832,-24.2732727276,3121.9267
NE192,18788.000,107380.000,3082.100,-69.0467852527,-24.2740937569,3117.9240
NE195,18924.000,107629.000,3088.700,-69.0454455211,-24.2718473057,3124.5311
NE200,19013.000,107892.000,3082.900,-69.0445684303,-24.2694743451,3118.7390
NE210,18255.000,109110.000,3059.000,-69.0520245653,-24.2584804599,3094.8829
NE222,19074.000,108521.000,3064.600,-69.0439656109,-24.2637985506,3100.4588
NE233,18828.000,108850.000,3058.700,-69.0463857222,-24.2608288333,3094.5709
NE240,21694.000,108766.000,3054.300,-69.0181762051,-24.2615945442,3090.1503
NE244,22401.000,108740.000,3058.200,-69.0112172903,-24.2618302610,3094.0451
NE251,23069.000,109101.000,3056.800,-69.0046418464,-24.2585733913,3092.6525
NE268,16092.000,109884.000,3102.100,-69.0733098045,-24.2514859131,3138.0212
NE269,18953.000,108188.000,3079.600,-69.0451579058,-24.2668030739,3115.4489
NE270,19613.000,107126.000,3072.800,-69.0386648961,-24.2763885885,3108.6107
NE278,21385.000,108393.000,3037.000,-69.0212184736,-24.2649598641,3072.8403
NE309,18148.000,106763.000,3047.200,-69.0530880626,-24.2796590180,3083.0082
NN002,19335.000,113860.000,3080.200,-69.0413774580,-24.2156208881,3116.2286
NN011,19242.000,113141.000,3140.800,-69.0422951421,-24.2221087736,3176.8061
NN030,19480.000,113599.000,3185.000,-69.0399516531,-24.2179765994,3221.0193
NN070,18983.000,113972.000,2847.500,-69.0448404983,-24.2146090143,2883.5344
NN075,19711.000,114416.000,3041.300,-69.0376759984,-24.2106047783,3077.3441
NN156,20609.000,113496.000,3115.400,-69.0288430454,-24.2189092594,3151.4090
NN163,19969.000,114350.000,3130.900,-69.0351377401,-24.2112011215,3166.9404
NN169,21290.000,112869.000,3084.800,-69.0221436381,-24.2245687860,3120.7846
NN175,21849.000,112473.000,3084.900,-69.0166437580,-24.2281432913,3120.8684
NN178,20344.000,113717.000,3131.500,-69.0314499164,-24.2169142970,3167.5177
NN204,23598.000,109525.000,3061.300,-68.9994347991,-24.2547476611,3097.1628
NN32,18304.000,112501.000,3255.000,-69.0515277146,-24.2278806597,3290.9914
NP001,22501.000,111933.000,3088.100,-69.0102285913,-24.2330171568,3124.0470
NP005,24305.000,110046.000,3064.000,-68.9924761567,-24.2500464671,3099.8751
NP018,22899.000,111145.000,3081.600,-69.0063128512,-24.2401284341,3117.5192
NP019,23136.000,110404.000,3076.800,-69.0039811644,-24.2468153504,3112.6939
