id,N,E,H
NCM01,109251,18355,3052
NCM02,110751,18933,3043.1
NCM04,113449,19926,3141.1
NE018,108419,16750,2770.2
NE022,106952,15816,2845.9
NE024,106643,16277,2764.1
NE025,105765,17168,3037.5
NE027,107515,17780,3064.8
NE029,110158,25601,3139
NE030,106512,16060,2980.6
NE032,106018,17081,2900.3
NE036,106421,15971,2959
NE042,107184,18368,3077.1
NE043,107275,18212,3075
NE060,109584,16341,3077.8
NE061,108481,17120,2951.3
NE065,107917,20788,3042.1
NE066,109009,16123,2822.6
NE069,110717,16302,3265
NE071,110253,16501,3237
NE073,107878,17141,2834.7
NE080,110696,14762,3248.4
NE082,108168,21132,3039.8
NE107,106186,16314,2921.1
NE131,107775,17449,2910.5
NE138,106979,15390,3030
NE144,106143,15866,3070
NE184,107316,18173,3076.8
NE187,107471,18827,3086.1
NE192,107380,18788,3082.1
NE195,107629,18924,3088.7
NE200,107892,19013,3082.9
NE210,109110,18255,3059
NE222,108521,19074,3064.6
NE233,108850,18828,3058.7
NE240,108766,21694,3054.3
NE244,108740,22401,3058.2
NE251,109101,23069,3056.8
NE268,109884,16092,3102.1
NE269,108188,18953,3079.6
NE270,107126,19613,3072.8
NE278,108393,21385,3037
NE309,106763,18148,3047.2
NN002,113860,19335,3080.2
NN011,113141,19242,3140.8
NN030,113599,19480,3185
NN070,113972,18983,2847.5
NN075,114416,19711,3041.3
NN156,113496,20609,3115.4
NN163,114350,19969,3130.9
NN169,112869,21290,3084.8
NN175,112473,21849,3084.9
NN178,113717,20344,3131.5
NN204,109525,23598,3061.3
NN32,112501,18304,3255
NP001,111933,22501,3088.1
NP005,110046,24305,3064
NP018,111145,22899,3081.6
NP019,110404,23136,3076.8
